Time,T_ref_C,T_meas_C,PWM_percent,error_C
39.2 sec,50,43.6957972310906,80.3636910078236,6.32236508767888
39.3 sec,50,43.7137651353643,80.3129554992013,6.30420276890939
39.4 sec,50,43.731542488714,80.2635057879811,6.28623486463567
39.5 sec,50,43.7491330719364,80.2153138238528,6.26845751128597
39.6 sec,50,43.7665405848375,80.1683521619946,6.25086692806358
39.7 sec,50,43.7837686479781,80.1225939500136,6.23345941516254
39.8 sec,50,43.8008208043826,80.0780129151685,6.21623135202185
39.9 sec,50,43.8177005212096,80.0345833518668,6.19917919561736
40 sec,50,43.8344111913874,79.9922801094331,6.18229947879041
40.1 sec,50,43.8509561352142,79.9510785801399,6.16558880861261
40.2 sec,50,43.8673386019233,79.9109546874974,6.14904386478582
40.3 sec,50,43.8835617712151,79.8718848747954,6.13266139807669
40.4 sec,50,43.8996287547556,79.8338460938927,6.11643822878487
40.5 sec,50,43.9155425976428,79.7968157942475,6.10037124524439
40.6 sec,50,43.9313062798415,79.7607719121855,6.08445740235722
40.7 sec,50,43.9469227175871,79.7256928603985,6.06869372015854
40.8 sec,50,43.9623947647591,79.6915575176699,6.05307728241295
40.9 sec,50,43.9777252142252,79.658345218822,6.03760523524089
41 sec,50,43.9929167991561,79.6260357448796,6.02227478577475
41.1 sec,50,44.0079721943117,79.5946093134457,6.00708320084394
41.2 sec,50,44.0228940173007,79.5640465692859,5.99202780568829
41.3 sec,50,44.0376848298118,79.5343285751141,5.97710598269926
41.4 sec,50,44.0523471388188,79.5054368025783,5.96231517018818
41.5 sec,50,44.0668833977597,79.4773531234405,5.94765286118124
41.6 sec,50,44.081296007691,79.4500598009462,5.93311660224026
41.7 sec,50,44.0955873184155,79.423539481381,5.91870399230903
41.8 sec,50,44.1097596295878,79.3977751858084,5.90441268158447
41.9 sec,50,44.1238151917942,79.3727503019863,5.89024037041219
42 sec,50,44.1377562076105,79.3484485764581,5.87618480820578
42.1 sec,50,44.1515848326365,79.3248541068133,5.86224379238946
42.2 sec,50,44.1653031765078,79.3019513341165,5.84841516736355
42.3 sec,50,44.178913303887,79.2797250354982,5.83469682349222
